refYear,flowCode,partnerCode,primaryValue,iso3
2001,M,72,15295.0,BWA
2001,M,76,169750980.0,BRA
2001,M,84,151535.0,BLZ
2001,M,90,930.0,SLB
2001,M,92,356975.0,VGB
2001,M,96,37137337.0,BRN
2001,M,100,4333323.0,BGR
2001,M,104,20826037.0,MMR
2001,M,108,57296.0,BDI
2001,M,112,875351.0,BLR
2001,M,116,134336.0,KHM
2001,M,120,2109386.0,CMR
2001,M,124,356507536.0,CAN
2001,M,132,57217.0,CPV
2001,M,136,10523.0,CYM
2001,M,140,3590967.0,CAF
2001,M,144,6804509.0,LKA
2001,M,148,427660.0,TCD
2001,M,152,57026875.0,CHL
2001,M,156,1842680215.0,CHN
2001,M,162,1590260.0,CXR
2001,M,166,39886.0,CCK
2001,M,170,2143975.0,COL
2001,M,174,470382.0,COM
2001,M,178,713880.0,COG
2001,M,184,48677.0,COK
2001,M,188,81202.0,CRI
2001,M,191,395109.0,HRV
2001,M,192,257895.0,CUB
2001,M,196,283673.0,CYP
2001,M,203,12446920.0,CZE
2001,M,204,11610523.0,BEN
2001,M,208,57954450.0,DNK
2001,M,212,660399.0,DMA
2001,M,214,3.0,DOM
2001,M,218,3483686.0,ECU
2001,M,222,12537.0,SLV
2001,M,231,2893505.0,ETH
2001,M,232,669979.0,ERI
2001,M,233,1654145.0,EST
2001,M,234,139011.0,FRO
2001,M,238,36380.0,FLK
2001,M,239,34211.0,SGS
2001,M,242,1946398.0,FJI
2001,M,246,89437677.0,FIN
2001,M,251,397501812.0,FRA
2001,M,262,1887.0,DJI
2001,M,266,36058.0,GAB
2001,M,268,516541.0,GEO
2001,M,270,50938.0,GMB
2001,M,275,7304.0,PSE
2001,M,276,1300528994.0,DEU
2001,M,288,5700995.0,GHA
2001,M,300,18382771.0,GRC
2001,M,304,119331.0,GRL
2001,M,308,1107.0,GRD
2001,M,316,857.0,GUM
2001,M,320,27076.0,GTM
2001,M,324,129965.0,GIN
2001,M,332,2568.0,HTI
2001,M,336,1709765.0,VAT
2001,M,340,10385.0,HND
2001,M,344,257311276.0,HKG
2001,M,348,6322549.0,HUN
2001,M,352,293885.0,ISL
2001,M,360,264756519.0,IDN
2001,M,364,132055345.0,IRN
2001,M,368,1285.0,IRQ
2001,M,372,41928918.0,IRL
2001,M,380,407480319.0,ITA
2001,M,384,32406076.0,CIV
2001,M,388,323939.0,JAM
2001,M,392,4689470332.0,JPN
2001,M,398,5318299.0,KAZ
2001,M,400,28025481.0,JOR
2001,M,404,6708965.0,KEN
2001,M,408,2109675.0,PRK
2001,M,410,2209316559.0,KOR
2001,M,414,708291743.0,KWT
2001,M,417,255836.0,KGZ
2001,M,418,202939.0,LAO
2001,M,422,469989.0,LBN
2001,M,430,127782985.0,LBR
2001,M,434,3525511.0,LBY
2001,M,440,1372311.0,LTU
2001,M,442,4163062.0,LUX
2001,M,446,213977.0,MAC
2001,M,450,10015708.0,MDG
2001,M,454,86703.0,MWI
2001,M,458,1005463664.0,MYS
2001,M,462,57128.0,MDV
2001,M,466,5221854.0,MLI
2001,M,470,1188548.0,MLT
2001,M,480,1613770.0,MUS
2001,M,484,24679955.0,MEX
2001,M,490,1074214708.0,S19
2001,M,496,337902.0,MNG
2001,M,498,7438.0,MDA
2001,M,500,238.0,MSR
2001,M,504,12778414.0,MAR
2001,M,508,98103.0,MOZ
2001,M,512,919448.0,OMN
2001,M,516,69597.0,NAM
2001,M,520,1943986.0,NRU
2001,M,524,27828.0,NPL
2001,M,528,343801619.0,NLD
2001,M,530,9924555.0,ANT
2001,M,533,2319.0,ABW
2001,M,540,34207.0,NCL
2001,M,548,118545.0,VUT
2001,M,554,210979076.0,NZL
2001,M,558,26090295.0,NIC
2001,M,562,341857.0,NER
2001,M,566,445486712.0,NGA
2001,M,574,25854.0,NFK
2001,M,577,577156.0,F19
2001,M,579,30493500.0,NOR
2001,M,580,2973.0,MNP
2001,M,581,332500.0,UMI
